2017-06-13/13:28:03  |   | NOTE  | There are 64 EncChannels Init Successfully!

2017-06-13/13:28:03  |   | NOTE  | There are 4 DispChannels Init Successfully!

2017-06-13/13:28:03  |   | NOTE  | Dsp Ver:0650-20130507,Driver Ver:0250-12050700,Sdk Ver:0650-20130507
2017-06-13/13:28:15  |   | FAIL  | Read User Server Info error!
2017-06-13/13:28:15  |   | FAIL  | Read User Group Info error!
2017-06-13/13:28:21  | 00  | SUCC  | Channel 00 StartVideoCapture
2017-06-13/13:28:21  | 01  | SUCC  | Channel 01 StartVideoCapture
2017-06-13/13:28:22  | 02  | SUCC  | Channel 02 StartVideoCapture
2017-06-13/13:28:22  | 03  | SUCC  | Channel 03 StartVideoCapture
2017-06-13/13:28:22  | 04  | SUCC  | Channel 04 StartVideoCapture
2017-06-13/13:28:22  | 05  | SUCC  | Channel 05 StartVideoCapture
2017-06-13/13:28:22  | 06  | SUCC  | Channel 06 StartVideoCapture
2017-06-13/13:28:22  | 07  | SUCC  | Channel 07 StartVideoCapture
2017-06-13/13:28:22  | 08  | SUCC  | Channel 08 StartVideoCapture
2017-06-13/13:28:22  | 09  | SUCC  | Channel 09 StartVideoCapture
2017-06-13/13:28:22  | 10  | SUCC  | Channel 10 StartVideoCapture
2017-06-13/13:28:22  | 11  | SUCC  | Channel 11 StartVideoCapture
2017-06-13/13:28:22  | 12  | SUCC  | Channel 12 StartVideoCapture
2017-06-13/13:28:22  | 13  | SUCC  | Channel 13 StartVideoCapture
2017-06-13/13:28:22  | 14  | SUCC  | Channel 14 StartVideoCapture
2017-06-13/13:28:22  | 15  | SUCC  | Channel 15 StartVideoCapture
2017-06-13/13:28:22  | 16  | SUCC  | Channel 16 StartVideoCapture
2017-06-13/13:28:22  | 17  | SUCC  | Channel 17 StartVideoCapture
2017-06-13/13:28:22  | 18  | SUCC  | Channel 18 StartVideoCapture
2017-06-13/13:28:22  | 19  | SUCC  | Channel 19 StartVideoCapture
2017-06-13/13:28:22  | 20  | SUCC  | Channel 20 StartVideoCapture
2017-06-13/13:28:22  | 21  | SUCC  | Channel 21 StartVideoCapture
2017-06-13/13:28:22  | 22  | SUCC  | Channel 22 StartVideoCapture
2017-06-13/13:28:22  | 23  | SUCC  | Channel 23 StartVideoCapture
2017-06-13/13:28:22  | 24  | SUCC  | Channel 24 StartVideoCapture
2017-06-13/13:28:22  | 25  | SUCC  | Channel 25 StartVideoCapture
2017-06-13/13:28:22  | 26  | SUCC  | Channel 26 StartVideoCapture
2017-06-13/13:28:22  | 27  | SUCC  | Channel 27 StartVideoCapture
2017-06-13/13:28:22  | 28  | SUCC  | Channel 28 StartVideoCapture
2017-06-13/13:28:22  | 29  | SUCC  | Channel 29 StartVideoCapture
2017-06-13/13:28:22  | 30  | SUCC  | Channel 30 StartVideoCapture
2017-06-13/13:28:22  | 31  | SUCC  | Channel 31 StartVideoCapture
2017-06-13/13:28:22  | 32  | SUCC  | Channel 32 StartVideoCapture
2017-06-13/13:28:22  | 33  | SUCC  | Channel 33 StartVideoCapture
2017-06-13/13:28:22  | 34  | SUCC  | Channel 34 StartVideoCapture
2017-06-13/13:28:22  | 35  | SUCC  | Channel 35 StartVideoCapture
2017-06-13/13:28:22  | 36  | SUCC  | Channel 36 StartVideoCapture
2017-06-13/13:28:22  | 37  | SUCC  | Channel 37 StartVideoCapture
2017-06-13/13:28:22  | 38  | SUCC  | Channel 38 StartVideoCapture
2017-06-13/13:28:22  | 39  | SUCC  | Channel 39 StartVideoCapture
